ID,Concept,Underlined,Revised Activity Description,,Instructions
1108,,,"Students practice ordering to be, not, and an article before a noun by rewriting sentences using the correct underlined option.",,
1110,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
1112,,,Students practice ordering articles and adjectives before a noun by rewriting sentences using the correct underlined option.,,
1097,,,Students practice conjugating to be by rewriting sentences using the correct underlined option.,,
1153,,,Students practice using adjectives by rewriting sentences using the correct underlined option.,,
1145,,,Students practice conjugating to be by rewriting sentences using the correct underlined option.,,
1154,,,Students practice using adjectives by rewriting sentences using the correct underlined option.,,
1138,,,Students practice using the by rewriting sentences using the correct underlined option.,,
1117,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
1118,,,Students practice conjugating to want by rewriting sentences using the correct underlined option.,,
1120,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
1122,,,Students practice conjugating to have by rewriting sentences using the correct underlined option.,,
1124,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
1099,,,Students practice conjugating to be by rewriting sentences using the correct underlined option.,,
1126,,,Students practice conjugating to want by rewriting sentences using the correct underlined option.,,
1128,,,Students practice using singular and plural nouns by rewriting sentences using the correct underlined option.,,
1130,,,Students practice conjugating to have by rewriting sentences using the correct underlined option.,,
1132,,,Students practice conjugating to want by rewriting sentences using the correct underlined option.,,
1155,,,Students practice using articles by rewriting sentences using the correct underlined option.,,
1142,,,Students practice conjugating to be to form questions by rewriting sentences using the correct underlined option.,,
1141,,,Students practice conjugating to be to form questions by rewriting sentences using the correct underlined option.,,
1101,,,Students practice using articles by rewriting sentences using the correct underlined option.,,
1146,,,Students practice forming questions with to want by rewriting sentences using the correct underlined option. ,,
1147,,,Students practice forming questions with to have by rewriting sentences using the correct underlined option. ,,
1103,,,Students practice conjugating to be by rewriting sentences using the correct underlined option.,,
160,,,"Students practice using adverbs by rewriting sentences, changing the underlined adjective to an adverb.",,
988,,,"Students practice using adjectives and adverbs by rewriting sentences, choosing between the provided adverb and adjective.",,
989,,,"Students practice using adjectives and adverbs by rewriting sentences, choosing between the provided adverb and noun.",,
750,,,Students practice recognizing the difference between affect and effect by rewriting sentences with the correct word.,,
137,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
1340,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
136,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
1368,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
285,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
126,,,Students practice choosing between better and best or worse and worst by rewriting sentences with the correct underlined option.,,
1406,,,Students practice choosing between better and best or worse and worst by rewriting sentences with the correct underlined option.,,
302,,,Students practice recognizing the difference between between and beyond by rewriting sentences with the correct word.,,
308,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
816,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
128,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
293,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
129,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
604,,,Students practice using different modal auxiliary verbs by rewriting sentences using the correct underlined option.,,
161,,,"Students practice forming contractions by rewriting sentences, changing the underlined words to a contraction.",,
887,,,"Students rewrite sentences, adding the correct capitalization.",,
886,,,"Students rewrite sentences, adding the correct capitalization.",,
802,,,"Students rewrite sentences, adding the correct capitalization.",,
1342,,,"Students rewrite sentences, adding the correct capitalization.",,
801,,,"Students rewrite sentences, adding the correct capitalization.",,
1392,,,"Students rewrite sentences, adding the correct capitalization.",,
181,,,"Students rewrite sentences, adding the correct capitalization.",,
804,,,"Students rewrite sentences, adding the correct capitalization.",,
1405,,,"Students rewrite sentences, adding the correct capitalization.",,
885,,,"Students rewrite sentences, adding the correct capitalization.",,
127,,,"Students rewrite sentences, adding the correct capitalization.",,
142,,,Students practice using active and passive voice by rewriting sentences in either active or passive voice based on the instructions.,,
143,,,Students practice using passive voice by rewriting active voice sentences in passive voice.,,
144,,,Students practice using active voice by rewriting passive voice sentences in active voice.,,
148,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
177,,,"Students rewrite sentences, adding colons and commas to lists.",,
278,,,"Students rewrite compound sentences, adding commas in the appropriate places.",,
169,,,"Students rewrite sentences, adding commas after introductory prepositional phrases.",,
180,,,"Students rewrite sentences, adding commas and quotation marks to the dialogue.",,
176,,,"Students rewrite sentences, adding commas in the appropriate places.",,
819,,,"Students rewrite sentences, adding commas in the appropriate places.",,
821,,,"Students rewrite sentences, adding commas to lists.",,
820,,,"Students rewrite sentences, adding commas in the appropriate places.",,
151,,,Students practice capitalizing common and proper nouns by rewriting sentences using the correct underlined option.,,
817,,,,,
124,,,"Students practice using adjectives by rewriting sentences, changing the underlined adjective to its comparative or superlative form based on the ideas in the sentence.",,
1382,,,"Students practice using adjectives by rewriting sentences, changing the underlined adjective to its comparative or superlative form based on the ideas in the sentence.",,
125,,,"Students practice using adjectives by rewriting sentences, changing the underlined adjective to its comparative or superlative form based on the ideas in the sentence.",,
178,,,"Students rewrite sentences, adding the correct capitalization.",,
603,,,Students practice using different modal auxiliary verbs by rewriting sentences using the correct underlined option.,,
287,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
167,,,"Students rewrite sentences, changing be and ate to their participle form.",,
105,,,"Students rewrite sentences, adding either in the appropriate places.",,
301,,,"Students rewrite sentences, adding the two provided adjectives to the appropriate places. ",,
1320,,,"Students rewrite sentences, adding the two provided adjectives to the appropriate places. ",,
147,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
179,,,Students practice using possessive nouns by rewriting sentences using the correct underlined option.,,
152,,,Students practice using possessive nouns by rewriting sentences using the correct underlined option.,,
636,,,Students practice using the future perfect tense by rewriting sentences using the correct underlined option.,,
155,,,"Students practice forming the future tense by rewriting sentences, changing the underlined present tense verb to future tense.",,
96,,,Students practice recognizing the difference between commonly confused words by rewriting sentences with the correct word.,,
288,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
164,,,"Students practice forming contractions by rewriting sentences, changing the underlined words to a contraction.",,
168,,,"Students rewrite sentences, adding commas after however and still. ",,
163,,,"Students practice forming contractions by rewriting sentences, changing the underlined words to a contraction.",,
162,,,"Students practice forming contractions by rewriting sentences, changing the underlined words to a contraction.",,
174,,,Students practice writing with pronoun-antecedent agreement by rewriting sentences using the correct underlined option.,,
283,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
145,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
107,,,Students practice recognizing the difference between its and it's by rewriting sentences with the correct word.,,
1435,,,Students practice recognizing the difference between its and it's by rewriting sentences with the correct word.,,
813,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
132,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
109,,,Students practice recognizing the difference between lose and loose by rewriting sentences with the correct word.,,
166,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
146,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
149,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
134,,,Students practice using reflexive pronouns by rewriting sentences using the correct underlined option.,,
106,,,"Students rewrite sentences, adding not only and but also to the appropriate places.",,
291,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
1378,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
108,,,Students practice recognizing the difference between of and off by rewriting sentences with the correct word.,,
135,,,Students practice using reflexive pronouns by rewriting sentences using the correct underlined option.,,
286,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
488,,,Students practice using the past perfect tense by rewriting sentences using the correct underlined option.,,
637,,,Students practice using the past perfect progressive tense by rewriting sentences using the correct underlined option.,,
173,,,"Students practice writing with prepositional phrases by rewriting sentences, moving the prepositional phrase to the correct spot.",,
94,,,Students practice recognizing the difference between commonly confused words by rewriting sentences with the correct word.,,
808,,,Students practice deciding between plural and possessive nouns by rewriting sentences using the correct underlined option.,,
1386,,,Students practice deciding between plural and possessive nouns by rewriting sentences using the correct underlined option.,,
809,,,Students practice using possessive pronouns by rewriting sentences using the correct underlined option.,,
1381,,,Students practice using possessive pronouns by rewriting sentences using the correct underlined option.,,
281,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
282,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
300,,,Students practice using prepositions by rewriting sentences with the correct underlined option.,,
631,,,Students practice using the present perfect tense by rewriting sentences using the correct underlined option.,,
1204,,,Students practice writing with pronoun-antecedent agreement by rewriting sentences using the correct underlined option.,,
1206,,,Students practice writing with pronoun-antecedent agreement by rewriting sentences using the correct underlined option.,,
172,,,Students practice using subjunctive mood and consistent verb tense by rewriting sentences with the correct underlined option.,,
271,,,"Students practice forming the past tense by rewriting sentences, changing the underlined present tense verb to past tense.",,
154,,,"Students practice forming the past tense by rewriting sentences, changing the underlined present tense verb to past tense.",,
803,,,Students practice using plural nouns by rewriting sentences using the correct underlined option.,,
1377,,,"Students practice forming the past tense by rewriting sentences, changing the underlined present tense verb to past tense.",,
131,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
133,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
806,,,Students practice using possessive nouns by rewriting sentences using the correct underlined option.,,
171,,,"Students rewrite sentences, adding in spaces between two sentences.",,
810,,,Students practice using pronouns by rewriting sentences using the correct underlined option.,,
175,,,Students practice using pronouns by rewriting sentences using the correct underlined option.,,
150,,,Students practice writing with subject-verb agreement by rewriting sentences using the correct underlined option.,,
153,,,Students practice writing with subject-verb agreement by rewriting sentences using the correct underlined option.,,
284,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
88,,,Students practice recognizing the difference between commonly confused words by rewriting sentences with the correct word.,,
110,,,Students practice recognizing the difference between than and then by rewriting sentences with the correct word.,,
123,,,"Students practice writing progressive tense verbs by rewriting sentences, changing the underlined verb to the progressive tense.",,
111,,,"Students practice recognizing the difference between there, their, and they're by rewriting sentences with the correct word.",,
141,,,Students practice using these and those by rewriting sentences with the correct underlined option.,,
139,,,Students practice using this and that by rewriting sentences with the correct underlined option.,,
90,,,Students practice recognizing the difference between commonly confused words by rewriting sentences with the correct word.,,
112,,,"Students practice recognizing the difference between to, too, and two by rewriting sentences with the correct word.",,
307,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
182,,,"Students rewrite sentences, adding commas to dates and lists.",,
165,,,"Students rewrite sentences, adding commas to addresses.",,
818,,,"Students rewrite sentences, changing present tense to be verbs to past tense.",,
122,,,"Students practice using where, why, and when by rewriting sentences with the correct underlined option.",,
121,,,Students practice using relative pronouns by rewriting sentences with the correct underlined option.,,
118,,,Students practice using relative pronouns by rewriting sentences with the correct underlined option.,,
805,,,Students practice using irregular plural nouns by rewriting sentences using the correct underlined option.,,
130,,,"Students practice writing irregular past tense verbs by rewriting sentences, changing the underlined present tense verb to past tense.",,
828,,,Students learn to use apostrophes to form contractions and show possession in this teacher-led lesson.,,
835,,,"Students learn to join sentences using colons, dashes, and semicolons in this teacher-led lesson.",,
829,,,Students review how to write complex sentences with joining words in this teacher-led lesson.,,
832,,,Students learn to write with consistent verb tense in this teacher-led lesson.,,
831,,,Students learn to identify and correct basic fragments in this teacher-led lesson.,,
984,,,Students learn to craft argumentative thesis statements in this teacher-led lesson.,,
565,,,"Students learn to identify adverbs of manner, add them to simple sentences, and combine sentences using adverbs of manner. This is lesson 1 of 2 in the adverbs lesson series.",,
563,,,"Students learn to combine sentences using and, or, but, and so to create compound sentences. This is lesson 1 of 2 in the compound sentences lesson series.",,
567,,,Students learn to combine sentences using a descriptive phrase in the middle of a sentence. This is lesson 1 of 2 in the appositive phrases lesson series.,,
726,,,"Students learn to choose between a, an, and the before a noun. This is lesson 1 of 2 in the articles lesson series.",,
568,,,"Students learn to combine sentences by using compound objects and predicates. This is lesson 1 of 3 in the compound subjects, objects, and predicates lesson series.",,
566,,,Students learn to combine sentences using subordinating conjunctions of time to show the accurate order of events. This is lesson 1 of 4 in the complex sentences lesson series,,
560,,,Students learn to identify and correct simple fragments that are missing a single subject or a single verb. This is lesson 1 of 4 in the basic fragments lesson series.,,
569,,,"Students learn to correct long, complex fragments that are missing a subject or a verb. This is lesson 1 of 3 in the advanced fragments lesson series.",,
571,,,Students learn to write with parallel structure so that actions in a list are in the same form. This is the only lesson in the parallel structure lesson pack.,,
570,,,"Students learn to combine sentences using a descriptive phrase at the beginning of a sentence that begins with an -ing, -ed, or -en word. This is the lesson 1 of 2 in the participial phrases lesson series.",,
745,,,Students learn to use the present perfect form (e.g. have eaten). This is lesson 1 of 2 in the perfect tense lesson series.,,
739,,,Students learn to use the present progressive form (e.g. am eating). This is lesson 1 of 3 in the progressive tense lesson series.,,
830,,,Students learn to identify subject and object pronouns and correct common pronoun errors in this teacher-led lesson. This is lesson 1 of 2 in the pronoun lesson series.,,
564,,,Students learn to identify adjectives and add them to simple sentences. This is lesson 1 of 2 in the adjectives lesson series.,,
654,,,"Students learn to use in, at, and on to show time. This is lesson 1 of 2 in the prepositions lesson series.",,
1292,,,Students learn to make plural nouns possessive in this teacher-led lesson.,,
1287,,,Students learn to make singular nouns possessive in this teacher-led lesson.,,
583,,,"Students learn to correct long, complex fragments that are missing to be before an -ing word. This is lesson 2 of 3 in the advanced fragments lesson series.",,
574,,,Students apply what they learned in Lesson 1: Adverbs by writing a paragraph that correctly includes four adverbs of manner. This is lesson 2 of 2 in the adverbs lesson series.,,
581,,,"Students apply what they learned in Lesson 1: And, Or, But, So by writing a paragraph that includes four compound sentences. This is lesson 2 of 2 in the compound sentences lesson series.",,
572,,,Students apply what they learned in Lesson 1: Appositive Phrases by writing three sentences using an appositive phrase in the middle. This is lesson 2 of 2 in the appositives phrases lesson series.,,
575,,,"Students learn to combine sentences by using compound subjects. This is lesson 2 of 3 in the compound subjects, objects, and predicates lesson series.",,
576,,,"Students learn to combine sentences using even though, though, and although to show contrast. This is lesson 2 of 4 in the complex sentences lesson series.",,
559,,,Students learn to identify and correct basic dependent clause fragments. This is lesson 2 of 4 in the basic fragments lesson series.,,
577,,,Students apply what they learned in Lesson 1: Participial Phrases by writing a paragraph that contains three sentences that begin with a participial phrase. This is lesson 2 of 2 in the participial phrases lesson series.,,
743,,,Students learn to use the past perfect form (e.g. had eaten). This is lesson 2 of 2 in the perfect tense lesson series.,,
738,,,Students learn to use the past progressive form (e.g. was eating). This is lesson 2 of 3 in the progressive tense lesson series.,,
827,,,Students learn how to correct common pronoun-antecedent agreement errors. This is lesson 2 of 2 in the pronoun lesson series.,,
573,,,Students apply what they learned in Lesson 1: Single Adjectives by combining sentences using adjectives. This is lesson 2 of 2 in the adjectives lesson series.,,
655,,,"Students learn to use in, at, and on to show location. This is lesson 2 of 2 in the prepositions lesson series.",,
727,,,Students learn when to use the before proper nouns and when no article is needed. This is lesson 1 of 2 in the articles lesson series.,,
561,,,Students learn to identify and correct basic -ing fragments. This is lesson 3 of 4 in the basic fragments lesson serries.,,
578,,,"Students apply what they learned in Lesson 1: Compound Objects and Predicates and Lesson 2: Compound Subjects by writing a paragraph that includes a compound subject, a compound object, and a compound predicate. This is lesson 3 of 3 in the compound subjects, objects, and predicates lesson series.",,
580,,,Students learn to use because and since to show a cause and effect. This is lesson 3 of 4 in the complex sentences lesson series.,,
582,,,"Students learn to correct long, complex dependent clause fragments.This is lesson 3 of 3 in the advanced fragments lesson series.",,
744,,,Students learn to use the present perfect progressive form (e.g. have been eating). This is lesson 3 of 3 in the progressive tense lesson series.,,
562,,,Students apply what they learned in the basic fragment lessons 1-3 by identifying and correcting fragments within a paragraph. This is lesson 4 of 4 in the basic fragments lesson series.,,
579,,,Students apply what they learned in the complex sentences lessons 1-3 by writing a paragraph that includes four complex sentences. This lesson 4 of 4 in the complex sentences lesson series.,,
834,,,Students learn to use commonly confused words correctly in this teacher-led lesson.,,
833,,,Students learn to punctuate and capitalize quotations in this teacher-led lesson.,,
648,,,Students learn to write with that and which in this teacher-led lesson.,,
13,Articles,Yes,Students choose the correct pronouns and articles from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
374,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
89,Commonly Confused Words,,Students find and correct commonly confused words errors within a text.,,Read the passage and correct the spelling of the commonly confused words.
791,Pronouns,Yes,Students choose the correct relative pronoun from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
748,Adverbs,Yes,Students choose the correct conjunctive adverb from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
15,Capitalization,,Students find and correct capitalization errors within a text.,,Read the passage and correct the capitalization errors you find.
611,,,"Students practice forming different verb tenses by rewriting sentence, changing the bolded verb to the right tense.",,
51,Adjectives,Yes,Students rewrite the underlined adjective in its correct comparative or superlative form.,,Read the passage. rewrite the underlined word so it correctly shows a comparison. 
7,Verbs,,Students find and correct verb tense errors within a text.,,Read the passage and correct the verb tense errors you find.
251,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
91,Parallel Structure,,Students find and correct parallel structure errors within a text.,,Read the passage and correct the the words that don't match the others in the list. 
63,Punctuation,,Students add commas and colons to lists throughout a text.,,Read the passage. Add commas and colons to the lists.
369,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
534,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
387,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
19,Contractions,Yes,Students rewrite the underlined words as contractions.,,"Read the passage. rewrite the underlined words as contractions (e.g. doesn't, can't)."
538,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
492,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
254,Capitalization,,Students find and correct capitalization errors within a text.,,Read the passage and correct the capitalization errors you find.
362,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
378,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
540,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
391,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
311,Verbs,Yes,Students correct verb tense errors within a text. The errors are underlined.,,Read the passage. rewrite the underlined action words so they're in the right tense.
312,Verbs,Yes,Students correct verb tense errors within a text. The errors are underlined.,,Read the passage. rewrite the underlined action words so they're in the right tense.
85,Commonly Confused Words,,Students find and correct commonly confused words errors within a text.,,Read the passage and correct the spelling of the commonly confused words.
624,Punctuation,,Students add commas to a text.,,Read the passage. Add commas where needed.
462,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
245,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
262,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
252,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
371,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
881,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
532,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
364,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
530,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
499,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
794,Verbs,Yes,Students correct verb tense errors within a text. The errors are underlined.,,Read the passage. rewrite the underlined action words so they're in the right tense.
657,Articles,Yes,Students choose the correct article from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
382,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
525,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
658,Prepositions,Yes,Students choose the correct preposition from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
406,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
367,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
75,Punctuation,,Students add spaces after quotation marks throughout a text.,,Read the passage. Add spaces between the quotation marks and the words next to them.
384,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
368,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
248,Pronouns,Yes,Students correct reflexive pronoun errors within a text. The errors are underlined.,,"Read the passage. Replace the underlined error with the correct reflexive pronoun (e.g. himself, myself)."
79,Verbs,,Students find and correct past participle errors within a text. ,,Read the passage and correct the verb tense errors you find.
23,Verbs,,Students find and correct verb tense errors within a text. ,,Read the passage and correct the verb tense errors you find.
360,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
268,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
533,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
77,Adjectives,,Students connect coordinate adjectives by replacing and with a comma.,,Read the passage. Find the places where two describing words are connected by and. Replace and with a comma to practice one way of using describing words. Remember to check your spacing!
47,Prepositions,Yes,Students choose the correct preposition from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
398,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
53,Punctuation,,Students add commas to addresses throughout a text.,,Read the passage. Add commas to the addresses.
233,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
797,Verbs,Yes,Students correct verb tense errors within a text. The errors are underlined.,,Read the passage. rewrite the underlined action words so they're in the right tense.
370,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
260,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
405,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
381,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
457,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
545,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
394,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
9,Compound Sentences,Yes,Students choose the correct coordinating conjunction from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
542,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
544,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
264,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
535,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
383,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
400,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
403,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
361,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
267,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
263,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
266,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
524,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
527,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
626,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
386,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
41,Pronouns,Yes,Students choose the correct pronoun from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
35,Verbs,Yes,Students choose the correct modal verb from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
407,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
393,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
539,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
723,Verbs,Yes,Students choose the correct verb tense from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
724,Verbs,Yes,Students choose the correct past or present perfect verb from the underlined choices throughout a text.,,"Read the passage. At each underlined part of the passage, choose the correct option and delete the incorrect option and the slash (/). "
536,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
397,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
249,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
517,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
537,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
358,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
253,Punctuation,,Students add commas to lists and dates throughout a text.,,Read the passage. Add commas to the lists and the dates.
503,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
518,Mixed Proofreading,,Students find and correct a variety of errors within a text.,,Read the passage and correct any grammar or punctuation errors you find.
408,Mixed Proofreading,Yes,Students correct a variety errors within a text. The errors are underlined.,,Read the passage and correct the underlined errors.
