Concept_Level_2,Concept_Level_1,Concept_Level_0,Rule Name (Old) , The Questions,Rule_Question Number (Keep!),Concept Class
Punctuation,Commas in Lists,Commas in Lists,Writing Lists,"{""0"":""The sky was {red, pink, and blue}."",""1"":""The sky was {red, pink and blue}.""}",2157,Grammar Concepts
Punctuation,Commas in Lists,Commas in Lists,Writing Lists,"{""0"":""I need {sugar, flour,} and milk."",""1"":""I need {sugar,} flour and milk.""}",2158,Grammar Concepts
Punctuation,Commas in Numbers,Commas in Numbers,Commas in Numbers,"{""0"":""I ran {700,000,000} miles.""}",1982,Grammar Concepts
Punctuation,Commas in Numbers,Commas in Numbers,Periods and Commas,"{""0"":""She ate {300,000} strawberries.""}",1977,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""Did you see any sculptures in the {museum}?""}",1674,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""I see a {ship} in the harbor.""}",1675,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""There is a {camel} by the river.""}",1676,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""You can take a boat to the {island} temple.""}",1677,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""I caught a {butterfly} with a net.""}",1678,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""I saw a beautiful {peacock} in the bushes.""}",1679,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""I bought a pair of {sunglasses}.""}",1680,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""The {coffee} spill stained the wood of the table.""}",1681,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""Even the best {plans} can go awry.""}",1682,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""These {raspberries} will spoil soon.""}",1683,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""My {belt} is too old.""}",1684,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""His {ankle} hurts.""}",1685,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""Are all {wheels} round?""}",1686,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common and Proper Nouns,"{""0"":""Her {socks} don't match.""}",1687,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""I saw the {Taj Mahal} when I was young.""}",1688,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""The paintings in {Italy} are amazing.""}",1689,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""I listen to the {Beatles} when I come home from work.""}",1690,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""There is a waterfall at the {Saratoga} National Park.""}",1691,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""The militia marches to the tune of {\\""\\""Yankee Doodle.\\""\\""}""}",1692,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""{Trisha} is a frugal shopper.""}",1693,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""{Lisa} said she had a biased view of politics.""}",1694,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""We just named our new dog {Bandanna}.""}",1695,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Common and Proper Nouns,"{""0"":""I want to live in a house built by {Frank Lloyd Wright}.""}",1696,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common Nouns,"{""0"":""A cute {duck} is sewn onto the bag.""}",1672,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Common Nouns,Common Nouns,"{""0"":""My {father} is a policeman.""}",1673,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Jenna,"{""0"":""{Stacy} and her mom, {Jenna}, are donating clothes.""}",2172,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Lisa,"{""0"":""{Rick} runs slower than {Lisa}.""}",2180,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Mary,"{""0"":""{Ryan} is in the same class as {Mary}.""}",2174,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Nate,"{""0"":""{Natalie} and {Nate} are related.""}",2171,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Proper Nouns,"{""0"":""Someday, I will go to {China}.""}",1697,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Proper Nouns,"{""0"":""{John} drops his son off at school.""}",1698,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,Proper Nouns,"{""0"":""I need to call {Dr. Stevens} right away.""}",2069,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""Someday, I will go to {China}.""}",45,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""We'll scale to the top of the mountain by {Wednesday}.""}",2164,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""Our trip is on {Saturday}.""}",2165,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""{Preston's} voice is loud.""}",2173,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""Coach {Tyson's} booming voice could be heard across the field.""}",2177,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""Captain {Wells} plummeted into the ocean to save his crew.""}",2178,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""Mr. {Wilcox} has a photographic memory.""}",2179,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""{Terry and Jill} are brother and sister.""}",2182,Grammar Concepts
Nouns & Pronouns,Common and Proper Nouns,Proper Nouns,,"{""0"":""Captain {White} is brave.""}",2183,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives ending in Y,Adjectives ending in \\\\y\\\\ (Comparative),"{""0"":""Traveling is {easier} with a guide than without one.""}",653,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives ending in Y,Adjectives ending in \\\\y\\\\ (Comparative),"{""0"":""Some bunnies are {fluffier} than others.""}",1395,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives ending in Y,Adjectives ending in \\\\y\\\\ (Comparative),"{""0"":""My hair is {messier} than it was Commas for Commas for Yes and No and Noterday.""}",1396,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Better,Better & Best,"{""0"":""Those boots are {better} for hiking than running.""}",1406,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Better,"Better & Best, Worse & Worst","{""0"":""She thinks tea is {better} with lemon than without lemon.""}",1408,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Worse,"Better & Best, Worse & Worst","{""0"":""My headache got {worse} before it got better.""}",1409,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Worse,"Better & Best, Worse & Worst","{""0"":""This movie is not good, but I've seen {worse} movies.""}",1410,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives,Comparative Adjectives,"{""0"":""John thinks he is {stronger} than me, but I disagree.""}",1384,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives,Comparative Adjectives,"{""0"":""Amy's hair is {shorter} than mine.""}",1385,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives,Comparative and Superlative Adjectives,"{""0"":""That tree is {older} than the house next to it.""}",1386,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives,Comparative and Superlative Adjectives,"{""0"":""It is raining {harder} than it was this morning.""}",1387,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives,Comparative and Superlative Adjectives,"{""0"":""It is much {colder} outside than inside.""}",1388,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives ending in Y,Comparative and Superlative Adjectives Ending in \\\\y\\\\,"{""0"":""Traveling is {easier} with a guide than without one.""}",1397,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives ending in Y,Comparative and Superlative Adjectives Ending in \\\\y\\\\,"{""0"":""Meat"",""1"":""eating animals are {feistier} than other animals.""}",1398,Grammar Concepts
Adjectives & Adverbs,Comparative Adjectives,Comparative Adjectives ending in Y,Comparative and Superlative Adjectives Ending in \\\\y\\\\,"{""0"":""Every Day, my wedding ring looks {prettier} than before.""}",1399,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,And,"{""0"":""It was raining{, and the} wind was gusting."",""1"":""It was raining{ and the} wind was gusting.""}",1755,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,And,"{""0"":""The castle was made of stone{, and it} had a moat."",""1"":""The castle was made of stone{ and it} had a moat."",""2"":""The castle was made of stone{ and} had a moat.""}",1756,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""Perry ordered new windows{, and he} requested express delivery."",""1"":""Perry ordered new windows{ and he} requested express delivery."",""2"":""Perry ordered new windows{ and} requested express delivery.""}",1757,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""I need milk{ and} butter."",""1"":""I need milk{ and} I also need butter."",""2"":""I need milk{, and} I also need butter.""}",1758,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""I cooked the turkey{, and} Paul garnished it."",""1"":""I cooked the turkey{ and} Paul garnished it.""}",1759,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""I practice violin{, and} I take cooking classes."",""1"":""I practice violin{ and} I take cooking classes."",""2"":""I practice violin{ and} take cooking classes.""}",1760,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""I play soccer{ and} I play basketball."",""1"":""I play soccer{ and} basketball."",""2"":""I play{ basketball and soccer}."",""3"":""I play soccer{, and} I play basketball.""}",1761,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""I can write music{ and} I can read a score.""}",1762,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""I drink coffee{ and} I drink tea.""}",1763,Grammar Concepts
Conjunctions,Coordinating Conjunctions,And,"And, Or","{""0"":""Irregular Nouns: People can surf{ and sunbathe} at the beach."",""1"":""Irregular Nouns: People can surf at the beach{ and} Irregular Nouns: People can sunbathe at the beach."",""2"":""Irregular Nouns: People can surf at the beach{, and} Irregular Nouns: People can sunbathe at the beach.""}",1764,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""Would you like soup{, or} do you prefer salad?"",""1"":""Would you like soup{ or} do you prefer salad?""}",1765,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""I can go to Tom's party{ or} I can study for my test."",""1"":""I can go to Tom's party{, or} I can study for my test."",""2"":""I can go to Tom's party{, or} study for my test."",""3"":""I can go to Tom's party{ or} study for my test.""}",1766,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""It might rain tomorrow{, or} it might be sunny."",""1"":""It might rain tomorrow{ or} it might be sunny.""}",1767,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""We can swim in the sea{, or} we can hike in the mountains."",""1"":""We can swim in the sea{ or} we can hike in the mountains."",""2"":""We can swim in the sea{ or} hike the mountains."",""3"":""We can swim in the sea{, or} hike the mountains.""}",1768,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""You can lead the junior team{ or} join the varsity team."",""1"":""You can lead the junior team{, or} join the varsity team."",""2"":""You can lead the junior team{, or} you can join the varsity team."",""3"":""You can lead the junior team{ or} your can join the varsity team.""}",1769,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""We can offer you a discount{, or} we can give you store credit."",""1"":""We can offer you a discount{ or} we can give you store credit."",""2"":""We can offer you a discount{ or} give you store credit."",""3"":""We can offer you a discount{, or} give you store credit.""}",1770,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,"And, Or","{""0"":""We can take the train now{ or} wait an hour."",""1"":""We can take the train now{, or} wait an hour."",""2"":""We can take the train now{ or} we can wait an hour."",""3"":""We can take the train now{, or} we can wait an hour.""}",1771,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""I want to eat sushi{, but} the restaurants are closed.""}",65,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""I can help you{, but} I must leave in an hour.""}",66,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""I will drop off the kids{, but} I have to make a call first.""}",67,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""I want to go swimming{, but} the water is too cold.""}",550,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""I am so tired{, but} I can't sleep yet.""}",553,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""The desert is an arid place{, but} creatures Introductory Words: Still live there.""}",948,Grammar Concepts
Conjunctions,Coordinating Conjunctions,But,But,"{""0"":""Andy wore his new suit{, but} his hair was unkempt.""}",949,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,Or,"{""0"":""You can leave now{, or} you can work over"",""1"":""time."",""2"":""You can leave now{ or} work over"",""3"":""time.""}",1772,Grammar Concepts
Conjunctions,Coordinating Conjunctions,Or,Or,"{""0"":""I can do inventory{, or} I can work the register."",""1"":""I can do inventory{ or} work the register."",""2"":""I can do inventory{ or} I can work the register.""}",1773,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,So,"{""0"":""The slope was steep{, so} we had to find another route.""}",1774,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,So,"{""0"":""Jasmine was too excited to sleep{, so} she read her book.""}",1775,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""There is no parking{, so} I will take the bus."",""1"":""There is no parking{ so} I will take the bus.""}",1776,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""The sun was too bright{, so} I put on my sunglasses."",""1"":""The sun was too bright{ so} I put on my sunglasses.""}",1777,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""Not all of history is known{, so} it is best to check your facts."",""1"":""Not all of history is known{ so} it is best to check your facts.""}",1778,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""I am too busy{, so} you will have to answer the call."",""1"":""I am too busy{ so} you will have to answer the call.""}",1779,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""I think it will rain{, so} I will bring my umbrella."",""1"":""I think it will rain{ so} I will bring my umbrella.""}",1780,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""We skipped a step in the {recipe, so the} cake might take awhile.""}",1781,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""Scarlet was worried about Sean{, so} she decided to go see him.""}",1782,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""The wave started to swell{, so} the surfer got ready.""}",1783,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""Alex scored three goals{, so} he was the game's MVP.""}",1784,Grammar Concepts
Conjunctions,Coordinating Conjunctions,So,"So, Because","{""0"":""It's a great day to ski {because the} snow is like powder.""}",1788,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,Correct Messy Sentences,"{""0"":""{We can't even see two inches in front of our noses.}"",""1"":""{We can't even see 2 inches in front of our noses.}""}",791,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,Correct Messy Sentences,"{""0"":""{Hi Eduminions, how are you doing today?}""}",1966,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{What will you eat for Thanksgiving dinner this weekend?}""}",1967,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{How good is your spelling?}""}",1968,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{We can't even see two inches in front of our noses.}"",""1"":""{We can't even see 2 inches in front of our noses.}""}",1969,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{My students are so smart that they're creating their own messy sentences!}""}",1970,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{Eduminions is our theme.}""}",1971,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{Can you fix this sentence?}""}",1972,Grammar Concepts
Custom Activities,Correct Messy Sentences,Correct Messy Sentences,,"{""0"":""{Don't write a paper like it is a text message.}""}",1973,Grammar Concepts
Conjunctions,Correlative Conjunctions,Both . . . And,Both ... And,"{""0"":""I want to study {both} French and Spanish.""}",1207,Grammar Concepts
Conjunctions,Correlative Conjunctions,Both . . . And,Both ... And,"{""0"":""I want {both} ketchup and mustard on my hot dog.""}",1208,Grammar Concepts
Conjunctions,Correlative Conjunctions,Either . . . Or,Either ... Or,"{""0"":""You can have {either} a cat or a dog."",""1"":""You can have {either} a cat, or a dog.""}",1188,Grammar Concepts
Conjunctions,Correlative Conjunctions,Either . . . Or,Either ... Or,"{""0"":""You can have {either} pasta or soup."",""1"":""You can have {either} pasta, or soup.""}",1189,Grammar Concepts
Conjunctions,Correlative Conjunctions,Either . . . Or,"Either, Or; Neither, Nor","{""0"":""We can {either} help you move or schedule a mover."",""1"":""We can {either} help you move, or schedule a mover.""}",1190,Grammar Concepts
Conjunctions,Correlative Conjunctions,Either . . . Or,"Either, Or; Neither, Nor","{""0"":""I can {either} help you, or go shopping."",""1"":""I can {either} help you or go shopping.""}",1191,Grammar Concepts
Conjunctions,Correlative Conjunctions,Either . . . Or,"Either, Or; Neither, Nor","{""0"":""Paul wants to {either} study law or travel the world."",""1"":""Paul {either} wants to study law or travel the world."",""2"":""Paul wants to {either} study law, or travel the world."",""3"":""Paul {either} wants to study law, or travel the world.""}",1192,Grammar Concepts
Conjunctions,Correlative Conjunctions,Neither . . . Nor,"Either, Or; Neither, Nor","{""0"":""He {neither} builds computers nor fixes them.""}",1193,Grammar Concepts
Conjunctions,Correlative Conjunctions,Neither . . . Nor,"Either, Or; Neither, Nor","{""0"":""They {neither} help nor hurt you.""}",1194,Grammar Concepts
Conjunctions,Correlative Conjunctions,Neither . . . Nor,"Either, Or; Neither, Nor","{""0"":""We can {neither} run nor hide.""}",1195,Grammar Concepts
Conjunctions,Correlative Conjunctions,Neither . . . Nor,Neither ... Nor,"{""0"":""I {neither} read German nor write it.""}",1197,Grammar Concepts
Conjunctions,Correlative Conjunctions,Neither . . . Nor,Neither ... Nor,"{""0"":""I {neither} dance nor sing.""}",1198,Grammar Concepts
Conjunctions,Correlative Conjunctions,Not Only . . . But Also,"Not Only ... But, Also","{""0"":""She not only loved cooking, {But, Also} skydiving.""}",1199,Grammar Concepts
Conjunctions,Correlative Conjunctions,Not Only . . . But Also,"Not Only ... But, Also","{""0"":""I was not only on the track team, {But, Also} the swim team.""}",1200,Grammar Concepts
Conjunctions,Correlative Conjunctions,Both . . . And,"Pracitce: Not Only, But, Also; Both, And","{""0"":""Our school teaches {both} robotics and choir.""}",1204,Grammar Concepts
Conjunctions,Correlative Conjunctions,Both . . . And,"Pracitce: Not Only, But, Also; Both, And","{""0"":""I would like {both} ketchup and mustard.""}",1205,Grammar Concepts
Conjunctions,Correlative Conjunctions,Both . . . And,"Pracitce: Not Only, But, Also; Both, And","{""0"":""I play {both} basketball and baseball.""}",1206,Grammar Concepts
Conjunctions,Correlative Conjunctions,Not Only . . . But Also,"Pracitce: Not Only, But, Also; Both, And","{""0"":""Greg not only speaks Spanish, {But, Also} French.""}",1201,Grammar Concepts
Conjunctions,Correlative Conjunctions,Not Only . . . But Also,"Pracitce: Not Only, But, Also; Both, And","{""0"":""He not only read every Harry Potter book, {But, Also} has every movie too.""}",1202,Grammar Concepts
Conjunctions,Correlative Conjunctions,Not Only . . . But Also,"Pracitce: Not Only, But, Also; Both, And","{""0"":""I don't just listen to music, {But, Also} play guitar.""}",1203,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""The otter I saw at {the} zoo was cute.""}",1556,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""{The} picture I am holding is of my grandma.""}",1557,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""Is that {the} best you've got?""}",1558,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""Please pass {the} gravy.""}",1559,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""Joel has his head in {the} clouds.""}",1560,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""Who ate {the} last biscotti?""}",1561,Grammar Concepts
Determiners,Definite Articles,The,"A, An, The","{""0"":""This shirt is {the} wrong size.""}",1562,Grammar Concepts
Determiners,Definite Articles,The,The,"{""0"":""Even {the} best of friends Introductory Words: Still argue.""}",1567,Grammar Concepts
Determiners,Definite Articles,The,The,"{""0"":""{The} Dodgers were the World Champions in 1955.""}",1568,Grammar Concepts
Determiners,Demonstratives,These,These & Those,"{""0"":""{These} guys right here are my friends.""}",1573,Grammar Concepts
Determiners,Demonstratives,These,These & Those,"{""0"":""I think {these} logs here are enough for a fire.""}",1575,Grammar Concepts
Determiners,Demonstratives,These,These & Those,"{""0"":""'\\""\\""Get {these} blankets off of me,\\""\\"" yelled my brother.'""}",1576,Grammar Concepts
Determiners,Demonstratives,These,These & Those,"{""0"":""We can wear {these} new loafers here out the door.""}",1577,Grammar Concepts
Determiners,Demonstratives,These,These & Those,"{""0"":""{These} coins keep jingling in my pocket.""}",1578,Grammar Concepts
Determiners,Demonstratives,Those,These & Those,"{""0"":""We shouldn't go too close to {those} porcupines there.""}",1571,Grammar Concepts
Determiners,Demonstratives,Those,These & Those,"{""0"":""{Those} apples in that tree look ripe.""}",1572,Grammar Concepts
Determiners,Demonstratives,Those,These & Those,"{""0"":""Did you find {those} kiwis I asked for earlier?""}",1574,Grammar Concepts
Determiners,Demonstratives,Those,These & Those,"{""0"":""Please place {those} documents there into a folder.""}",1579,Grammar Concepts
Determiners,Demonstratives,Those,These & Those,"{""0"":""{Those} campsites over the hill are the best ones.""}",1580,Grammar Concepts
Determiners,Demonstratives,Those,These & Those,"{""0"":""{Those} quizzes we took last week were really tough.""}",1581,Grammar Concepts
Determiners,Demonstratives,That,This & That,"{""0"":""{That} coffeehouse across the street has a new look.""}",1548,Grammar Concepts
Determiners,Demonstratives,That,This & That,"{""0"":""{That} man over there is my brother.""}",1550,Grammar Concepts
Determiners,Demonstratives,This,This & That,"{""0"":""{This} new computer here runs faster than that one.""}",1546,Grammar Concepts
Determiners,Demonstratives,This,This & That,"{""0"":""{This} chart here is a Venn diagram.""}",1547,Grammar Concepts
Determiners,Demonstratives,This,This & That,"{""0"":""{This} movie I have is a classic.""}",1549,Grammar Concepts
Determiners,Demonstratives,This,This & That,"{""0"":""{This} is my house right here.""}",1551,Grammar Concepts
Determiners,Demonstratives,This,This & That,"{""0"":""You should read {this} book I have when I'm done with it.""}",1554,Grammar Concepts
Determiners,Demonstratives,This,This & That,"{""0"":""{This} sweater I am wearing is itchy.""}",1555,Grammar Concepts
Contractions,Don't,Don't,"Haven't, Don't","{""0"":""When bears hibernate, they {don't} wake up for months.""}",1871,Grammar Concepts
Contractions,Don't,Don't,"Haven't, Don't","{""0"":""They {don't} know how to pitch a tent by themselves.""}",1872,Grammar Concepts
Contractions,Don't,Don't,"Haven't, Don't","{""0"":""{Don't} yell in the library.""}",1873,Grammar Concepts
Contractions,Don't,Don't,,"{""0"":""Please {don't} dive in the shallow end of the pool.""}",1874,Grammar Concepts
Contractions,Don't,Don't,,"{""0"":""I {don't} think we have a test today.""}",1875,Grammar Concepts
Punctuation,Ending Periods,Ending Periods,Periods and Commas,"{""0"":""I saw Ben {Commas for Commas for Yes and No and Noterday. }He was wearing a new shirt.""}",1975,Grammar Concepts
Commonly Confused Words,Ever After,Ever After,Vocabulary: Ever after,"{""0"":""Do all fairy tales end with the phrase, \\""\\""happily {ever after}?\\""\\""""}",860,Grammar Concepts
Commonly Confused Words,Ever After,Ever After,Vocabulary: Ever after,"{""0"":""The customer was looking for a \\""\\""happily {ever after}\\""\\"" type of story, can you help\\n him?""}",877,Grammar Concepts
Commonly Confused Words,Ever After,Ever After,Vocabulary: Ever after,"{""0"":""! '\\""\\""Billy had this crazy idea where the story should end \\""\\""happily never after\\""\\"" rather\\n than \\""\\""{ever after}\\""\\"".'""}",878,Grammar Concepts
Commonly Confused Words,"Every Day, Everyday",Every Day,Vocabulary: Every Day vs Everyday,"{""0"":""I would go rock climbing {Every Day} if I had time.""}",866,Grammar Concepts
Commonly Confused Words,"Every Day, Everyday",Everyday,Vocabulary: Every Day vs Everyday,"{""0"":""In winter, playing ice hockey on the lake was an {everyday} activity for us.""}",867,Grammar Concepts
Commonly Confused Words,"Every Day, Everyday",Everyday,Vocabulary: Every Day vs Everyday,"{""0"":""Graduating high school isn't an {everyday} occurrence, so I think it's a reason to\\n celebrate.""}",868,Grammar Concepts
Commonly Confused Words,"Finally, Finely",Finally,"Finally, Finely","{""0"":""You are {finally} nearing the end of the race!""}",834,Grammar Concepts
Commonly Confused Words,"Finally, Finely",Finely,"Finally, Finely","{""0"":""Make sure the onions are {finely} chopped before putting them in the pot.""}",835,Grammar Concepts
Commonly Confused Words,"Finally, Finely",Finely,"Finally, Finely","{""0"":""You can see how {finely} crafted the ancient pottery was by looking at the designs.""}",836,Grammar Concepts
Commonly Confused Words,"Greece, Grease",Grease,"Greece, Grease","{""0"":""There was so much {grease} left on the bacon when we ate it.""}",838,Grammar Concepts
Commonly Confused Words,"Greece, Grease",Grease,"Greece, Grease","{""0"":""They do not use much {grease} for traditional meals prepared in {Greece}.""}",839,Grammar Concepts
Commonly Confused Words,"Greece, Grease",Greece,"Greece, Grease","{""0"":""The waters surrounding {Greece} are so clear, you can see all the way to the bottom.""}",837,Grammar Concepts
Contractions,Haven't,Haven't,Haven't,"{""0"":""I {haven't} played lacrosse in awhile.""}",1866,Grammar Concepts
Contractions,Haven't,Haven't,Haven't,"{""0"":""We {haven't} Irregular Past Participles: Eaten dinner yet.""}",1867,Grammar Concepts
Contractions,Haven't,Haven't,"Haven't, Don't","{""0"":""I {haven't} ever crocheted a cap before.""}",1868,Grammar Concepts
Contractions,Haven't,Haven't,"Haven't, Don't","{""0"":""I {haven't} visited the Eiffel Tower.""}",1869,Grammar Concepts
