entry,type,Curriculum Assigned Optimal Status,label,Optional - Curriculum Label,Optional - Highlight,Optional - AutoML Label,Optional - AutoML Primary Feedback,Optional - AutoML Secondary Feedback
the crackling sounds familiar to a campfire.,prompt,suboptimal,Label_11,,,,,
"they look for the sound to be loud, crackling sounds similar to a campfire.",prompt,suboptimal,Label_11,,,,,
to listen how loud crackling sounds of the coral reefs.,prompt,suboptimal,Label_11,,,,,
coral reefs campfire cackling sounds.,prompt,suboptimal,Label_11,,,,,
"coral reefs make this loud, cackling sound.",test,suboptimal,Label_11,,,,,
it allows them to assess to hear  how loud and crackling the coral reef is.,prompt,suboptimal,Label_11,,,,,
healthy and unhealthy coral reefs produce different sounds similar to a campfire.,prompt,suboptimal,Label_11,,,,,
crackling sounds similar.,prompt,suboptimal,Label_11,,,,,
"they're loud, crackling sounds like a campfire..",prompt,suboptimal,Label_11,,,,,
"they're loud, crackling sounds like a campfire/",test,suboptimal,Label_11,,,,,
"they're loud, crackling sounds like a campfir",prompt,suboptimal,Label_11,,,,,
"they're loud, crackling sounds like a campfire",prompt,suboptimal,Label_11,,,,,
"they're loud, crackling sounds like a campfire.",prompt,suboptimal,Label_11,,,,,
"coral makes loud, crackling sounds one might compare to a campfire.",prompt,suboptimal,Label_11,,,,,
an unhealthy coral sounds crackling.,test,suboptimal,Label_11,,,,,
they are able to tell which coral reefs they might need to help based on how loud the reefs are.,prompt,suboptimal,Label_11,,,,,
"monitoring it can produce loud, and crackling noises that sound like a campfire.",prompt,suboptimal,Label_11,,,,,
"monitoring it can produce loud, and crackling noises.",prompt,suboptimal,Label_11,,,,,
"monitoring it can produce loud, crackling, sounds that can sound like a campfire.",prompt,suboptimal,Label_11,,,,,
"they have loud, crackling sounds similar to campfires.",test,suboptimal,Label_11,,,,,
a lots of coral reef make noises at various times of day and for different reasons.,prompt,suboptimal,Label_11,,,,,
they have loud crackling sounds.,prompt,suboptimal,Label_11,,,,,
it has loud crackling sounds like a campfire.,prompt,suboptimal,Label_11,,,,,
they are loud.,prompt,suboptimal,Label_11,,,,,
"they can check if coral reefs make a loud, crackling sound.",test,suboptimal,Label_11,,,,,
it can help the scientists know if it is unhealthy by sounding like a campfire.,prompt,suboptimal,Label_11,,,,,
the sounds that are produced such as loud or soft crackling vary due to their health level eventually leading to being able to bring them back to life.,prompt,suboptimal,Label_11,,,,,
it would sound loud and have various sounds like a campfire at different times.,prompt,suboptimal,Label_11,,,,,
"coral reefs have a loud, crackling sound thats similar to a campfire.",prompt,suboptimal,Label_11,,,,,
"they all make different times of day and for different reasons, they also have loud, crackling sounds that sound like a campfire.",test,suboptimal,Label_11,,,,,
"coral reefs have loud, crackling sounds similar to campfires.",prompt,suboptimal,Label_11,,,,,
the coral reefs are loud and have crackling sounds like a campfire.,prompt,suboptimal,Label_11,,,,,
it makes noises at different times of the day,prompt,suboptimal,Label_11,,,,,
the coral reefs creates a loud crackling sound.,prompt,suboptimal,Label_11,,,,,
the coral reefs create a crackling sound.,test,suboptimal,Label_11,,,,,
they make noises at different times of day for different reasons.,prompt,suboptimal,Label_11,,,,,
"they make a certain sound to let scientists know, almost like a campfire.",prompt,suboptimal,Label_11,,,,,
the sounds of the reef are loud and crackling.,prompt,suboptimal,Label_11,,,,,
the scientist can hear loud crackling sounds.,prompt,suboptimal,Label_11,,,,,
if they have loud cracking sounds it means they are unhealthy.,test,suboptimal,Label_11,,,,,
that are trying to protect these important ecosystems by listening to loud crackling sounds similar to a campfire.,prompt,suboptimal,Label_11,,,,,
many types of animals live in them cause the coral reef to make camp fire noises.,prompt,suboptimal,Label_11,,,,,
"the noise being made by the coral, for example crackling.",prompt,suboptimal,Label_11,,,,,
it has cracking sounds similar to campfire,prompt,suboptimal,Label_11,,,,,
"it produces loud, crackling sounds.",test,suboptimal,Label_11,,,,,
"they produce loud, crackling sounds similar to a campfire caused by the loads of animals that make noises.",prompt,suboptimal,Label_11,,,,,
"they produce loud, crackling sounds similar to a campfire.",prompt,suboptimal,Label_11,,,,,
it can tell scientists if the coral reef is healthy or not by the amount of clicking and noises coming from the reef.,prompt,suboptimal,Label_11,,,,,
they can hear their crackling sounds.,prompt,suboptimal,Label_11,,,,,
sounds can attract marine animals to the reef.,test,suboptimal,Label_12,,,,,
it can help bring animals back to life.,prompt,suboptimal,Label_12,,,,,
it attracts marine animals and it helps speed up their recovery.,prompt,suboptimal,Label_12,,,,,
animals follow the sound and bring it back to life.,prompt,suboptimal,Label_12,,,,,
It can help revive it bring more animals back.,prompt,suboptimal,Label_12,,,,,
the sounds attract the animals and the marine life that will save the reefs.,test,suboptimal,Label_12,,,,,
"With the help of new technologies, humans can work together to help protect and restore this vital underwater ecosystem.",prompt,suboptimal,Label_12,,,,,
the recordings can protect coral reefs and they can even help them to come back to life and they can even attract marine life animals back to damaged and they can speed their recovery.,prompt,suboptimal,Label_12,,,,,
they can recognized a reef health or unhealthy with the computer and the recordings can protect coral reefs and they can even help them to come back to life with the new technologies.,prompt,suboptimal,Label_12,,,,,
it will help protect the reefs and bring them back to life.,prompt,suboptimal,Label_12,,,,,
scientists can help and save reefs with the audios.,test,suboptimal,Label_12,,,,,
it attracts marine animals back to recover damaged reefs.,prompt,suboptimal,Label_12,,,,,
"it helps them see how the reef is doing faster and more accurately, and help save the reef.",prompt,suboptimal,Label_12,,,,,
if they play the recordings of the sounds of healthy reefs at the damaged once it attracts fish and speeds up the recovery process.,prompt,suboptimal,Label_12,,,,,
scientists figured out if they play the recordings of healthy reefs at the damaged once it attracts fish and speeds up the recovery process.,prompt,suboptimal,Label_12,,,,,
they can help attract marine life back to damaged reefs.,test,suboptimal,Label_12,,,,,
If scientist know when the coral are health and are unhealth  scientist keep the corals alive.,prompt,suboptimal,Label_12,,,,,
they can protect them and their feeding areas.,prompt,suboptimal,Label_12,,,,,
it tells scientists where they are feeding and when they are at risk from fishers,prompt,suboptimal,Label_12,,,,,
it tells sciantists where they are feeding and when they are at risk from fishers,prompt,suboptimal,Label_12,,,,,
it tells them where they are feeding and when they are at risk from fishers.,test,suboptimal,Label_12,,,,,
sound recording can bring marine animals to damaged reefs.,prompt,suboptimal,Label_12,,,,,
to protect coral reefs.,prompt,suboptimal,Label_12,,,,,
"they can make predictions on how well a reef is doing, and even bring it back to life.",prompt,suboptimal,Label_12,,,,,
Marine Biologists can protect coral reef.,prompt,suboptimal,Label_12,,,,,
Marine Biologists can protect coral reefs,test,suboptimal,Label_12,,,,,
it can help bring them back to life.,prompt,suboptimal,Label_12,,,,,
"with the noise of coral reefs, scientists can help bring back coral reefs.",prompt,suboptimal,Label_12,,,,,
the sounds can help bring the reef back to life.,prompt,suboptimal,Label_12,,,,,
it helps bring it back to life and to protect it.,prompt,suboptimal,Label_12,,,,,
it can help protect coral reefs and bring them back to life.,test,suboptimal,Label_12,,,,,
it can make it more clear which places in the reef need to be rescued.,prompt,suboptimal,Label_12,,,,,
they have discovered that playing recordings of health reefs can actually attract marine animals back to damaged reefs and speed up recovery.,prompt,suboptimal,Label_12,,,,,
marine animals back to damaged reefs.,prompt,suboptimal,Label_12,,,,,
it can attract marine animals back to damaged reefs and speed up recovery.,prompt,suboptimal,Label_12,,,,,
the sounds can attract marine animals back to the damaged coral reefs and make their recovery quicker.,test,suboptimal,Label_12,,,,,
it can attract marine animals back to damaged reefs and speed up their recovery.,prompt,suboptimal,Label_12,,,,,
it brings them back to life.,prompt,suboptimal,Label_12,,,,,
monitoring a coral reef's health can determine if it is sick and can be helped and protected to save this important part of the ecosystem.,prompt,suboptimal,Label_12,,,,,
it will help dead coral come back to life and it attracts marine animals to the corals.,prompt,suboptimal,Label_12,,,,,
"Remarkably, sound recording like these won't only be used to protect coral reefs-they can even help bring them back to life.",test,suboptimal,Label_12,,,,,
so they can save any dead reefs.,prompt,suboptimal,Label_12,,,,,
it attracts animals and can bring life.,prompt,suboptimal,Label_12,,,,,
"its condition for the coral reef as stated, ""sounds recordings like these won't only be used to protect coral reefs"".",prompt,suboptimal,Label_12,,,,,
it can help bring the coral reefs  back to life.,prompt,suboptimal,Label_12,,,,,
"sounds can attract marine animals to the reef, and animals are needed to continue reef development.",test,suboptimal,Label_12,,,,,
healthy reefs can attract marine animals back to life.,prompt,suboptimal,Label_12,,,,,
reefs attract marine animals back to damaged reefs and speed up their recovery.,prompt,suboptimal,Label_12,,,,,
"they have to listen closely to sounds because the sounds can show if the coral needs to be tend to, like if it needs to be looked at and see what's wrong with it.",prompt,suboptimal,Label_12,,,,,
It can help revive it bring more animals back It scientists that its health is good.,prompt,suboptimal,Label_12,,,,,
it can even help bring it back to life.,test,suboptimal,Label_12,,,,,
they can attract marine animals back to damaged reefs and speed up their recovery.,prompt,suboptimal,Label_12,,,,,
it can bring the reef back to life.,prompt,suboptimal,Label_12,,,,,
they can bring the reef back to life and ca n  a.,prompt,suboptimal,Label_12,,,,,
they can bring the reef back to life and can  a.,prompt,suboptimal,Label_12,,,,,
they can bring the reef back to life and can a.,test,suboptimal,Label_12,,,,,
they can bring the reef back to life.,prompt,suboptimal,Label_12,,,,,
they can even help bring them back to life and attract marine animals back to damaged reefs and speed up their recovery.,prompt,suboptimal,Label_12,,,,,
the sounds attract marine animals back to damaged reefs and speed up their recovery and they can even help bring them back to life.,prompt,suboptimal,Label_12,,,,,
playing recordings of healthy reefs can attract marine animals to damaged reefs and speed up their recovery and help bring them back to life.,prompt,suboptimal,Label_12,,,,,
its able to bring marine life back and speed up its recovery,test,suboptimal,Label_12,,,,,
its able to bring marine life back and heal the coral,prompt,suboptimal,Label_12,,,,,
it can help researchers find unhealthy coral reefs and help them by bringing marine life back to the damaged areas to speed up recovery.,prompt,suboptimal,Label_12,,,,,
"it will bring humans together to help restore and protect the vital underwater ecosystem, and it helps speed up their recovery.",prompt,suboptimal,Label_12,,,,,
the recordings of healthy reefs attract marine animals back to damaged reefs and speed up their recovery.,prompt,suboptimal,Label_12,,,,,
the scientists can help bring the reef back to life.,test,suboptimal,Label_12,,,,,
marine animals back to damaged reefs and speed up their recovery,prompt,suboptimal,Label_12,,,,,
marine animals back to damaged reefs and speed up their recovery.,prompt,suboptimal,Label_12,,,,,
"sound recordings will be used to protect coral reefs, they can even help bring them back to life; for example, scientists plays recordings to attract animals.",prompt,suboptimal,Label_12,,,,,
These are the sounds of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
Robust reefs emit distinct and dependable noises.,test,suboptimal,Label_2,,,,,
Sound waves are produced by robust coral reefs.,prompt,suboptimal,Label_2,,,,,
It is an indication of a robust coral reef.,prompt,suboptimal,Label_2,,,,,
There are specific noises that signify wellness.,prompt,suboptimal,Label_2,,,,,
A healthy coral reef produces noises that are very similar.,prompt,suboptimal,Label_2,,,,,
They are among the indicators that the reefs are doing well.,test,suboptimal,Label_2,,,,,
A flourishing one can be identified by specific noises.,prompt,suboptimal,Label_2,,,,,
These are  noises produced by a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
they are emitted by well-maintained reefs.,prompt,suboptimal,Label_2,,,,,
Reefs in good health make distinctive noises.,prompt,suboptimal,Label_2,,,,,
It indicates the health of the coral reef.,test,suboptimal,Label_2,,,,,
It is healthy when it makes specific noises.,prompt,suboptimal,Label_2,,,,,
The noises produced by a healthy coral reef are often very similar.,prompt,suboptimal,Label_2,,,,,
They are among the many indicators demonstrating the reefs' healthy condition.,prompt,suboptimal,Label_2,,,,,
A healthy one will make particular noises.,prompt,suboptimal,Label_2,,,,,
These sound waves indicate that a healthy coral reef.,test,suboptimal,Label_2,,,,,
Consistent and distinctive noises are produced by thriving reefs.,prompt,suboptimal,Label_2,,,,,
there are certain sounds come from healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
A healthy coral reef is indicated by it.,prompt,suboptimal,Label_2,,,,,
It's healthy if it makes specific sounds.,prompt,suboptimal,Label_2,,,,,
The sounds produced by a healthy and robust coral reef are very alike.,test,suboptimal,Label_2,,,,,
One indicator that the reefs are doing well is often their presence.,prompt,suboptimal,Label_2,,,,,
They are the sounds of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
Robust reefs provide distinct and dependable noises.,prompt,suboptimal,Label_2,,,,,
these are produced by healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
It indicates that the coral reef is in good health.,test,suboptimal,Label_2,,,,,
It is healthy if it makes specific noises.,prompt,suboptimal,Label_2,,,,,
The sounds produced by a healthy coral reef are very similar.,prompt,suboptimal,Label_2,,,,,
They are among the indicators indicating the reefs' good health.,prompt,suboptimal,Label_2,,,,,
A flourishing one can often be identified by specific noises.,prompt,suboptimal,Label_2,,,,,
These are the noises produced by a healthy coral reef.,test,suboptimal,Label_2,,,,,
they are emitted by healthy well-maintained reefs.,prompt,suboptimal,Label_2,,,,,
Reefs in good health make distinctive different noises.,prompt,suboptimal,Label_2,,,,,
It often ndicates the health of the coral reef.,prompt,suboptimal,Label_2,,,,,
It is healthy when it tends to makes specific noises.,prompt,suboptimal,Label_2,,,,,
The noises produced by a healthy coral reef are very similar.,test,suboptimal,Label_2,,,,,
They are among the indicators demonstrating the reefs' healthy condition.,prompt,suboptimal,Label_2,,,,,
A healthy one will often make particular noises.,prompt,suboptimal,Label_2,,,,,
These sound waves indicate a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
Consistent and distinctive noises are produced  by thriving reefs.,prompt,suboptimal,Label_2,,,,,
Sound waves come from healthy coral reefs.,test,suboptimal,Label_2,,,,,
A healthy coral reef is often indicated by it.,prompt,suboptimal,Label_2,,,,,
It's healthy if it makes specific sounds.,prompt,suboptimal,Label_2,,,,,
The sounds produced by a robust coral reef are very alike.,prompt,suboptimal,Label_2,,,,,
One indicator that the reefs are doing well is their presence.,prompt,suboptimal,Label_2,,,,,
certain sounds are indicative of a thriving one.,test,suboptimal,Label_2,,,,,
they are the sounds of a coral reef that is healthy.,prompt,suboptimal,Label_2,,,,,
healthy reefs produce characteristic and predictable sounds.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs produce unique sounds.,prompt,suboptimal,Label_2,,,,,
it is a sign of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
there are certain sounds that indicate it is healthy.,test,suboptimal,Label_2,,,,,
there is a great similarity in the sounds made by a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
they are one of the signs that show the reefs are in good health.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs make certain sounds that differentiate itself from unhealthy coral reefs.,prompt,suboptimal,Label_2,,,,,
it has a nice sound of the reefs and their inhabitants.,prompt,suboptimal,Label_2,,,,,
the animals living the coral reef all make different noises.,test,suboptimal,Label_2,,,,,
the sounds that coral reefs produce indicate the health of said reefs.,prompt,suboptimal,Label_2,,,,,
these sounds serve an important purpose and are also signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
the reefs sound that it produces off.,prompt,suboptimal,Label_2,,,,,
it shows if it is healthy or not.,prompt,suboptimal,Label_2,,,,,
the sounds are an important purpose and are used as signs of a healthy coral reef.,test,suboptimal,Label_2,,,,,
it shows the healthiness of the coral by the sound.,prompt,suboptimal,Label_2,,,,,
the sounds are a sign of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
when scientist can hear sounds within the coral reef they know its in good condition.,prompt,suboptimal,Label_2,,,,,
these are indicators of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs make sounds.,test,suboptimal,Label_2,,,,,
these sounds are about healthy reefs.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs are full of noises.,prompt,suboptimal,Label_2,,,,,
the sounds of the coral reef.,prompt,suboptimal,Label_2,,,,,
the coral reefs will make certain noises based off there well-being.,prompt,suboptimal,Label_2,,,,,
"it can listen to the sounds of the coral reef, and differentiate which reefs are healthy, and which are not.",test,suboptimal,Label_2,,,,,
they’re signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
the different noises a coral reef makes can tell a scientist if it is healthy.,prompt,suboptimal,Label_2,,,,,
a healthy coral reef makes many sounds.,prompt,suboptimal,Label_2,,,,,
they can tell if the coral are healthy by the sounds they make.,prompt,suboptimal,Label_2,,,,,
the noises made by coral.,test,suboptimal,Label_2,,,,,
the noise being made the coral.,prompt,suboptimal,Label_2,,,,,
the noise being made by the coral show that is healthy.,prompt,suboptimal,Label_2,,,,,
the noise being made by the coral.,prompt,suboptimal,Label_2,,,,,
the noise being made by the coral show that it is healthy.,prompt,suboptimal,Label_2,,,,,
a healthy coral reef will have an abundance of different noises.,test,suboptimal,Label_2,,,,,
coral reefs make sounds.,prompt,suboptimal,Label_2,,,,,
the sounds are unique to the coral reef's health.,prompt,suboptimal,Label_2,,,,,
it shows signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
they're signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
they are able to listen to their recordings and listen to specific traits to decipher the well-being of the reef.,test,suboptimal,Label_2,,,,,
they are able to listen to their recordings and listen to specific traits.,prompt,suboptimal,Label_2,,,,,
they are signs that determine the health of these coral reefs.,prompt,suboptimal,Label_2,,,,,
this gives proof they are healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
hearing sounds given by coral reefs let machines and applications know if a coral is healthy or not.,prompt,suboptimal,Label_2,,,,,
"based on the sounds that are heard, the health of the coral reef could be determined.",test,suboptimal,Label_2,,,,,
the different noises that both good and weak reefs give can be used as indicators of the health.,prompt,suboptimal,Label_2,,,,,
they are signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
they are signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
a healthy reef will make sounds.,prompt,suboptimal,Label_2,,,,,
if they are alive they make sound.,test,suboptimal,Label_2,,,,,
if they are alive they make sound.,prompt,suboptimal,Label_2,,,,,
if they are alive they make sound.,prompt,suboptimal,Label_2,,,,,
it shows the reefs well being and inhabitants.,prompt,suboptimal,Label_2,,,,,
it will identify which coral reef is healthy and which one isn't.,prompt,suboptimal,Label_2,,,,,
it's a sign that the coral reef is healthy.,test,suboptimal,Label_2,,,,,
it helps scientist identify which coral reefs are healthy and which are not.,prompt,suboptimal,Label_2,,,,,
According to coral reef they're also signs of healthy corla reefs.,prompt,suboptimal,Label_2,,,,,
"According to coral reef alliance, over 75% of reef are currently at risk, also the sound that the reefs are hearing of healthy coral reefs.",prompt,suboptimal,Label_2,,,,,
"it can hear if the sound is clearer, and it can say if its healthy or not.",prompt,suboptimal,Label_2,,,,,
coral reefs make certain sounds depending on the current condition.,test,suboptimal,Label_2,,,,,
coral making sounds is a sign of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
the pitch that they communicate in shows the health of the reef.,prompt,suboptimal,Label_2,,,,,
a healthy coral reef makes sounds.,prompt,suboptimal,Label_2,,,,,
coral reefs make sounds and also the color of them.,prompt,suboptimal,Label_2,,,,,
a live onew would be making sounds.,test,suboptimal,Label_2,,,,,
whatever the sound the coral reef makes it can make different sound to tell if the coral reef is doing good or not.,prompt,suboptimal,Label_2,,,,,
it can tell if a coral reef is healthy by sounds.,prompt,suboptimal,Label_2,,,,,
it can tell if a coral reef is healthy.,prompt,suboptimal,Label_2,,,,,
they make certain sounds that show signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
it makes sounds to make sure it's heslthy.,test,suboptimal,Label_2,,,,,
specific sounds are signs the coral reef is healthy.,prompt,suboptimal,Label_2,,,,,
the sounds that the reefs make.,prompt,suboptimal,Label_2,,,,,
the sounds indicate a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
the sounds a coral reef emits indicates the health of the coral reef.,prompt,suboptimal,Label_2,,,,,
That's because the sound of a coral reef can indicate it's health.,test,suboptimal,Label_2,,,,,
healthy coral reefs make certain sounds.,prompt,suboptimal,Label_2,,,,,
they show signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
coral reefs make noises as a sign of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
the health that happens is called coral reefs.,prompt,suboptimal,Label_2,,,,,
It shows which are the ones that are healthy.,test,suboptimal,Label_2,,,,,
if it makes certain sounds that means the coral is healthy,prompt,suboptimal,Label_2,,,,,
they're signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
it makes noises at different times of the day which means its health.,prompt,suboptimal,Label_2,,,,,
its signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
sound is what indicates whether a coral reef is thriving or dying.,test,suboptimal,Label_2,,,,,
the noise that they make mean that there health.,prompt,suboptimal,Label_2,,,,,
they are signs of a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
by recording the sounds of th coral reef.,prompt,suboptimal,Label_2,,,,,
by recording the sounds of the coral reef.,prompt,suboptimal,Label_2,,,,,
tn they know that its healthy.,test,suboptimal,Label_2,,,,,
a healthy coral reef has many sounds.,prompt,suboptimal,Label_2,,,,,
the reef sounds indicate a healthy coral reef.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs have sound.,prompt,suboptimal,Label_2,,,,,
if the coral is healthy it will make certain sounds.,prompt,suboptimal,Label_2,,,,,
They listen to the noises a coral reef makes,test,suboptimal,Label_2,,,,,
the noise being made by the coral.,prompt,suboptimal,Label_2,,,,,
the noises being made by the coral.,prompt,suboptimal,Label_2,,,,,
it is a signs of healthy coral reef.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs make lots of different sounds.,prompt,suboptimal,Label_2,,,,,
they communicate and also signs of healthy coral reefs.,test,suboptimal,Label_2,,,,,
these are signs of healthy coral reefs That find food and attract mates and communicate.,prompt,suboptimal,Label_2,,,,,
these are signs of healthy coral reefs.,prompt,suboptimal,Label_2,,,,,
healthy coral reefs give off certain sounds.,prompt,suboptimal,Label_2,,,,,
it can tell if animals are living in them.,prompt,suboptimal,Label_3,,,,,
creatures are their and living on it.,test,suboptimal,Label_3,,,,,
coral reefs of all the creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
coral reef of all the creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
coral reef and all the creatures living in and out of it.,prompt,suboptimal,Label_3,,,,,
animals in and on top of the coral reef.,prompt,suboptimal,Label_3,,,,,
all the creatures on and in it.,test,suboptimal,Label_3,,,,,
all the creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
all the creatures living on and in it,prompt,suboptimal,Label_3,,,,,
all the creatures living on and in it,prompt,suboptimal,Label_3,,,,,
all the creatures living on and in it,prompt,suboptimal,Label_3,,,,,
all the creatures living in and out of it.,test,suboptimal,Label_3,,,,,
They study the fish.,prompt,suboptimal,Label_3,,,,,
they show that there are animals in the reef.,prompt,suboptimal,Label_3,,,,,
they indicate the presence of animals living there.,prompt,suboptimal,Label_3,,,,,
there are living creatures inside of it,prompt,suboptimal,Label_3,,,,,
the fish live on and in it.,test,suboptimal,Label_3,,,,,
the different fish living in it.,prompt,suboptimal,Label_3,,,,,
the coral reef holds all the creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
the coral reef has creatures living on it and inside it.,prompt,suboptimal,Label_3,,,,,
the coral reef has creatures living on and inside it.,prompt,suboptimal,Label_3,,,,,
sreaatures can live inside it and it helps the coral live.,test,suboptimal,Label_3,,,,,
meaning there are animals living in it.,prompt,suboptimal,Label_3,,,,,
many types of animals live in them.,prompt,suboptimal,Label_3,,,,,
it tells them if anything lives there,prompt,suboptimal,Label_3,,,,,
it shows them that there are lots of animals.,prompt,suboptimal,Label_3,,,,,
it shows how much animal activity is accruing in it.,test,suboptimal,Label_3,,,,,
it highlights the amount of life there is.,prompt,suboptimal,Label_3,,,,,
creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
Coral reefs house millions of marine species.,prompt,suboptimal,Label_3,,,,,
all the living creatures living in and on it.,prompt,suboptimal,Label_3,,,,,
all the creatures living on and in the coral reef.,test,suboptimal,Label_3,,,,,
all the creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
all the creatures living on and in it,prompt,suboptimal,Label_3,,,,,
all the creatures living in it.,prompt,suboptimal,Label_3,,,,,
there are lots of living creatures inside of it,prompt,suboptimal,Label_3,,,,,
the fishes live on and in it.,test,suboptimal,Label_3,,,,,
there ar different fish living in it.,prompt,suboptimal,Label_3,,,,,
the coral reef holds millions of creatures living on and in it.,prompt,suboptimal,Label_3,,,,,
the coral reef has lots creatures living on it and inside it.,prompt,suboptimal,Label_3,,,,,
the reef has creatures living on and inside it.,prompt,suboptimal,Label_3,,,,,
sreaatures can live inside it and on it.,test,suboptimal,Label_3,,,,,
meaning there are animals living in the coral reef.,prompt,suboptimal,Label_3,,,,,
many types of animals live in there.,prompt,suboptimal,Label_3,,,,,
they know if anything lives there.,prompt,suboptimal,Label_3,,,,,
it shows them that there are tons of animals living on the reef.,prompt,suboptimal,Label_3,,,,,
it shows how much animal activity is happening in it.,test,suboptimal,Label_3,,,,,
it highlights the amount of animal life there is on the reef.,prompt,suboptimal,Label_3,,,,,
creatures are living on and in it.,prompt,suboptimal,Label_3,,,,,
Coral reefs house millions of marine species .,prompt,suboptimal,Label_3,,,,,
all the living creatures living in and on it .,prompt,suboptimal,Label_3,,,,,
all the creatures living in and around the coral reef.,test,suboptimal,Label_3,,,,,
all the cratures living on and in it.,prompt,suboptimal,Label_3,,,,,
all the animals are living on and in it,prompt,suboptimal,Label_3,,,,,
all the creature living in it.,prompt,suboptimal,Label_3,,,,,
it sounds quiet.,prompt,suboptimal,Label_5,,,,,
healthy and unhealthy coral reefs produce different sounds like eerie and quiet.,test,suboptimal,Label_5,,,,,
"depending on if the reef's sound is quieter, scientists can tell if it's healthy or not.",prompt,suboptimal,Label_5,,,,,
some are quiet.,prompt,suboptimal,Label_5,,,,,
if sound eerie and quiet.,prompt,suboptimal,Label_5,,,,,
some reefs will sound quiet.,prompt,suboptimal,Label_5,,,,,
the reef could be quiet.,test,suboptimal,Label_5,,,,,
it may sound quiet.,prompt,suboptimal,Label_5,,,,,
the coral can be quiet.,prompt,suboptimal,Label_5,,,,,
quieter sounds might be what they hear.,prompt,suboptimal,Label_5,,,,,
there may be no sounds at all.,prompt,suboptimal,Label_5,,,,,
if they are are quiet.,test,suboptimal,Label_5,,,,,
some reefs will sound eerie.,prompt,suboptimal,Label_5,,,,,
the reef could be eerie.,prompt,suboptimal,Label_5,,,,,
it may sound eeerie.,prompt,suboptimal,Label_5,,,,,
the coral can be erie.,prompt,suboptimal,Label_5,,,,,
erie sounds might be what they hear.,test,suboptimal,Label_5,,,,,
there may be erie sound at all.,prompt,suboptimal,Label_5,,,,,
if they are are eerie.,prompt,suboptimal,Label_5,,,,,
some reefs will sound spooky.,prompt,suboptimal,Label_5,,,,,
the reef could be spooky.,prompt,suboptimal,Label_5,,,,,
it may sound spooky.,test,suboptimal,Label_5,,,,,
the coral can be spooky.,prompt,suboptimal,Label_5,,,,,
spooky and not a lot of sound might be what they hear.,prompt,suboptimal,Label_5,,,,,
there may be not a lot of sound at all.,prompt,suboptimal,Label_5,,,,,
if they are spooky and quiet.,prompt,suboptimal,Label_5,,,,,
some reefs will sound not loud.,test,suboptimal,Label_5,,,,,
"the reef could be eerie and quiet,",prompt,suboptimal,Label_5,,,,,
it may sound eeerie and noiseless.,prompt,suboptimal,Label_5,,,,,
the coral can be erie and really quiet.,prompt,suboptimal,Label_5,,,,,
spooky and quiet sounds might be what they hear.,prompt,suboptimal,Label_5,,,,,
there may be no sound at all and it's silent.,test,suboptimal,Label_5,,,,,
if they are quiet and spooky.,prompt,suboptimal,Label_5,,,,,
"some reefs will sound spooky and eerie,",prompt,suboptimal,Label_5,,,,,
the reef could be spooky and silent.,prompt,suboptimal,Label_5,,,,,
it may sound spooky and really quiet.,prompt,suboptimal,Label_5,,,,,
the coral can be spooky and have no sounds,test,suboptimal,Label_5,,,,,
spooky and lack of sound might be what they hear.,prompt,suboptimal,Label_5,,,,,
there may be a lack of sound.,prompt,suboptimal,Label_5,,,,,
